hour,Weekday,Weekend
0,12.246620237607537,12.248898678414097
1,12.345657517410897,12.42318281938326
2,12.358049979516592,12.446861233480176
3,12.3603031544449,12.454295154185022
4,12.362453912331011,12.456497797356828
5,12.334289225727161,12.439427312775331
6,11.99139896373057,12.390143171806168
7,11.708111429741908,12.335077092511014
8,11.015055305202786,12.27808370044053
9,10.961900860303155,12.193281938325992
10,11.486321243523316,11.998348017621145
11,11.549774682507168,11.802312775330396
12,11.427591151167555,11.677863436123348
13,11.208111429741908,11.63931718061674
14,11.507271609995904,11.575165198237885
15,11.522736583367472,11.585352422907489
16,11.388877509217533,11.643997797356828
17,11.094940598115526,11.727147577092511
18,11.135907414993856,11.879680616740089
19,11.588590741499386,11.984581497797357
20,11.885088078656288,12.06635462555066
21,12.047419090536666,12.172907488986784
22,12.120544858664482,12.201266519823788
23,12.174621056943876,12.209801762114537
